id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658617691,2026-07-09T01:43:55Z,AAPL,$AAPL  I changed my mind. I want socialism we will take our chances.! Right??,,3367713,415
658617448,2026-07-09T01:38:26Z,AAPL,"$HPQ is underperforming the market by quite a lot...    But take a look at their key KPI&#39;s, which are still doing fine    Worth a look    $HPE $AAPL $LOGI $SMCI",,7371664,31
658616959,2026-07-09T01:27:20Z,AAPL,"$AAPL a complete and utter embarrassment, but this country has been turned into from the mainstream media the Democrat party is a disgrace to humanity in the USA.",,3367713,415
658616903,2026-07-09T01:26:18Z,AAPL,$AAPL What you give is what you get,,1079726,716
658616884,2026-07-09T01:25:57Z,AAPL,$NVDA &amp; $AAPL competing for top dog is a good thing. $SPY $QQQ,Bullish,1404072,410
658616601,2026-07-09T01:19:50Z,AAPL,$SPY  $AAPL ripped for us,,3819027,5011
658616429,2026-07-09T01:15:37Z,AAPL,$AAPL &quot;BREAK OUT NEWS&quot; Yearn Finance https://yearn.fi Yearn Vaults,Bullish,886090,77
658616393,2026-07-09T01:14:51Z,AAPL,$AAPL Yearn Finance https://yearn.fi Yearn Vaults Yearn finance the new Bitcoin 100k price target. Total supply 36k,Bullish,886090,77
658615885,2026-07-09T01:03:16Z,AAPL,$AAPL -:https://x.com/leshka_eth/status/2074853064427933921?s=46&amp;t=Xq7UFW3u8B-l5R2nfYmJ2w,,1354162,251
658614902,2026-07-09T00:41:45Z,AAPL,$AAPL  black fatigue is a astounding!!!!,,3367713,415
658614310,2026-07-09T00:30:16Z,AAPL,$QQQ $SPY $NVDA $AAPL     Looks like the consolidation period is just about done and we&#39;re getting ready for the next leg up.    🙃,,2151606,259
658614016,2026-07-09T00:24:55Z,AAPL,$AAPL zero strength in after hours tells us all we need to know about tomorrow,Bearish,9040515,182
658613820,2026-07-09T00:21:09Z,AAPL,$AMD $NVDA $AAPL $BE $SOXL ww3 resuming potus is in big trouble if semis can&#39;t save him this time!,Bearish,1049577,198
658613425,2026-07-09T00:13:57Z,AAPL,$AAPL  pansy AHHZZ ahzzz ole munching libbbvtrrrdzzz!  This this to this. Country is doomed. The USA is fucking doomed.,,3367713,415
658612624,2026-07-08T23:58:04Z,AAPL,HOUR stock can 10X from here - most undervalued penny stock in the market     - 1.8M float with zero dilution    - did 143M in revenue last year with around $2M in net profit (doing the best numbers since they went public )    - insiders have never sold (even when this hit 7+) and the top two holders both own around 17M shares and are incentivized to boost numbers again this year     $AAPL $META $DELL adding for long term,,10997001,10
658612211,2026-07-08T23:50:13Z,AAPL,$AAPL,,3367713,415
658611724,2026-07-08T23:40:36Z,AAPL,$AAPL,,3367713,415
658611716,2026-07-08T23:40:23Z,AAPL,$AAPL,,3367713,415
658611712,2026-07-08T23:40:16Z,AAPL,$AAPL Trump don’t play.,,3367713,415
